Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,30,27.8,42,471,"3,780",42,54,41,95,51,3,4,64,4,1.29,0.98,2.26,1.21,2.19
Aston Villa,26,27.5,42,423,"3,780",42,48,39,87,47,1,1,62,3,1.14,0.93,2.07,1.12,2.05
Blackburn,21,25.5,42,482,"3,780",42,78,58,136,68,10,12,60,4,1.86,1.38,3.24,1.62,3
Chelsea,24,26.3,42,456,"3,780",42,47,39,86,46,1,2,60,3,1.12,0.93,2.05,1.1,2.02
Coventry City,29,27.6,42,500,"3,780",42,42,36,78,37,5,5,54,3,1,0.86,1.86,0.88,1.74
Crystal Palace,25,25.5,42,436,"3,780",42,33,22,55,32,1,3,56,1,0.79,0.52,1.31,0.76,1.29
Everton,26,27,42,466,"3,780",42,43,39,82,42,1,3,71,6,1.02,0.93,1.95,1,1.93
Ipswich Town,33,28,42,405,"3,780",42,27,21,48,24,3,3,53,2,0.64,0.5,1.14,0.57,1.07
Leeds United,21,26.9,42,458,"3,780",42,56,46,102,53,3,4,70,0,1.33,1.1,2.43,1.26,2.36
Leicester City,30,26.2,42,467,"3,780",42,46,27,73,46,0,1,62,8,1.1,0.64,1.74,1.1,1.74
Liverpool,21,25.4,42,463,"3,780",42,60,46,106,55,5,6,44,1,1.43,1.1,2.52,1.31,2.4
Manchester City,27,26.8,42,459,"3,780",42,53,46,99,52,1,2,62,5,1.26,1.1,2.36,1.24,2.33
Manchester Utd,24,26.8,42,460,"3,780",42,76,58,134,72,4,4,65,3,1.81,1.38,3.19,1.71,3.1
Newcastle Utd,22,26.3,42,463,"3,780",42,66,54,120,62,4,5,54,4,1.57,1.29,2.86,1.48,2.76
Norwich City,26,25.8,42,445,"3,780",42,31,27,58,29,2,3,70,1,0.74,0.64,1.38,0.69,1.33
Nott'ham Forest,20,25.7,42,462,"3,780",42,71,68,139,66,5,6,62,1,1.69,1.62,3.31,1.57,3.19
QPR,23,26.8,42,461,"3,780",42,60,47,107,60,0,1,76,4,1.43,1.12,2.55,1.43,2.55
Sheffield Weds,24,26.8,42,463,"3,780",42,48,34,82,47,1,2,57,2,1.14,0.81,1.95,1.12,1.93
Southampton,26,25.7,42,441,"3,780",42,61,36,97,58,3,3,70,0,1.45,0.86,2.31,1.38,2.24
Tottenham,24,26,42,458,"3,780",42,62,49,111,60,2,3,48,2,1.48,1.17,2.64,1.43,2.6
West Ham,26,28,42,461,"3,780",42,44,32,76,39,5,5,68,4,1.05,0.76,1.81,0.93,1.69
Wimbledon,26,26.8,42,414,"3,780",42,40,34,74,37,3,4,71,6,0.95,0.81,1.76,0.88,1.69
