Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,26,28.3,38,418,"3,420",38,58,42,100,56,2,4,71,7,1.53,1.11,2.63,1.47,2.58,1641,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2
Aston Villa,24,25.9,38,436,"3,420",38,50,32,82,48,2,4,65,2,1.32,0.84,2.16,1.26,2.11,1247,1.05,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2
Blackburn,30,25.5,38,411,"3,420",38,34,28,62,32,2,4,84,6,0.89,0.74,1.63,0.84,1.58,1256,1,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Charlton Ath,27,27.5,38,418,"3,420",38,39,24,63,35,4,6,61,3,1.03,0.63,1.66,0.92,1.55,1675,0.92,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99
Chelsea,26,28.5,38,419,"3,420",38,56,38,94,53,3,4,89,4,1.47,1,2.47,1.39,2.39,890,1.08,0.79,1.87,1,1.79,1.25,0.85,2.1,1.19,2.04
Coventry City,28,27.1,38,416,"3,420",38,39,26,65,37,2,2,74,1,1.03,0.68,1.71,0.97,1.66,1897,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92
Derby County,30,26.1,38,417,"3,420",38,40,26,66,36,4,6,81,1,1.05,0.68,1.74,0.95,1.63,1223,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57
Everton,34,25.1,38,436,"3,420",38,44,28,72,41,3,6,98,5,1.16,0.74,1.89,1.08,1.82,1430,1.11,0.84,1.95,1.08,1.92,1.34,1,2.34,1.32,2.32
Leeds United,24,24.8,38,424,"3,420",38,61,38,99,59,2,3,80,1,1.61,1,2.61,1.55,2.55,1612,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67
Leicester City,24,27.4,38,424,"3,420",38,40,32,72,38,2,3,53,1,1.05,0.84,1.89,1,1.84,1941,2.18,1.82,4,2.05,3.87,1.81,1.39,3.21,1.71,3.1
Liverpool,25,25.7,38,412,"3,420",38,68,43,111,61,7,7,66,3,1.79,1.13,2.92,1.61,2.74,2460,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4
Manchester Utd,23,26.5,38,419,"3,420",38,78,62,140,76,2,4,60,3,2.05,1.63,3.68,2,3.63,1788,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36
Middlesbrough,29,28.4,38,417,"3,420",38,47,30,77,46,1,1,82,4,1.24,0.79,2.03,1.21,2,844,1,0.76,1.76,1,1.76,0.94,0.71,1.64,0.91,1.62
Newcastle Utd,34,25.6,38,399,"3,420",38,47,26,73,41,6,7,56,2,1.24,0.68,1.92,1.08,1.76,1169,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65
Nott'ham Forest,33,26.9,38,417,"3,420",38,35,23,58,33,2,2,90,6,0.92,0.61,1.53,0.87,1.47,1352,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01
Sheffield Weds,31,27.7,38,409,"3,420",38,39,29,68,38,1,2,51,4,1.03,0.76,1.79,1,1.76,1335,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33
Southampton,31,27.9,38,394,"3,420",38,35,27,62,34,1,1,79,2,0.92,0.71,1.63,0.89,1.61,1410,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03
Tottenham,29,26.6,38,424,"3,420",38,48,33,81,46,2,3,74,5,1.26,0.87,2.13,1.21,2.08,1168,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95
West Ham,29,26.2,38,417,"3,420",38,48,32,80,47,1,1,82,4,1.26,0.84,2.11,1.24,2.08,1377,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16
Wimbledon,23,26.9,38,418,"3,420",38,40,33,73,39,1,1,59,1,1.05,0.87,1.92,1.03,1.89,1338,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33
