Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,30,28.3,38,417,"3,420",38,71,49,120,68,3,5,71,5,1.87,1.29,3.16,1.79,3.08,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2
Aston Villa,25,26.6,38,420,"3,420",38,48,41,89,45,3,5,65,1,1.26,1.08,2.34,1.18,2.26,1.05,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2
Bradford City,25,29.8,38,418,"3,420",38,37,21,58,32,5,5,55,1,0.97,0.55,1.53,0.84,1.39,1,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Chelsea,27,28.9,38,434,"3,420",38,48,45,93,47,1,1,64,4,1.26,1.18,2.45,1.24,2.42,0.92,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99
Coventry City,30,27.1,38,412,"3,420",38,46,32,78,41,5,5,54,1,1.21,0.84,2.05,1.08,1.92,1.08,0.79,1.87,1,1.79,1.25,0.85,2.1,1.19,2.04
Derby County,31,26.2,38,418,"3,420",38,42,28,70,40,2,4,90,4,1.11,0.74,1.84,1.05,1.79,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92
Everton,28,27.4,38,437,"3,420",38,58,48,106,52,6,7,60,5,1.53,1.26,2.79,1.37,2.63,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57
Leeds United,20,24.1,38,417,"3,420",38,57,36,93,53,4,6,79,3,1.5,0.95,2.45,1.39,2.34,1.11,0.84,1.95,1.08,1.92,1.34,1,2.34,1.32,2.32
Leicester City,26,27.8,38,417,"3,420",38,53,34,87,50,3,3,45,3,1.39,0.89,2.29,1.32,2.21,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67
Liverpool,23,24.3,38,418,"3,420",38,50,30,80,47,3,5,62,4,1.32,0.79,2.11,1.24,2.03,2.18,1.82,4,2.05,3.87,1.81,1.39,3.21,1.71,3.1
Manchester Utd,29,26.8,38,417,"3,420",38,94,69,163,91,3,5,46,4,2.47,1.82,4.29,2.39,4.21,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4
Middlesbrough,28,28.5,38,418,"3,420",38,44,26,70,38,6,9,82,3,1.16,0.68,1.84,1,1.68,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36
Newcastle Utd,32,26.8,38,418,"3,420",38,60,43,103,54,6,6,48,1,1.58,1.13,2.71,1.42,2.55,1,0.76,1.76,1,1.76,0.94,0.71,1.64,0.91,1.62
Sheffield Weds,25,28.4,38,399,"3,420",38,34,24,58,31,3,4,43,1,0.89,0.63,1.53,0.82,1.45,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65
Southampton,29,27.4,38,402,"3,420",38,42,32,74,41,1,1,72,5,1.11,0.84,1.95,1.08,1.92,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01
Sunderland,27,26.9,38,417,"3,420",38,57,39,96,51,6,8,79,3,1.5,1.03,2.53,1.34,2.37,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33
Tottenham,28,26.7,38,418,"3,420",38,55,40,95,54,1,1,86,1,1.45,1.05,2.5,1.42,2.47,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03
Watford,31,26.2,38,419,"3,420",38,35,28,63,33,2,2,68,2,0.92,0.74,1.66,0.87,1.61,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95
West Ham,28,26.7,38,419,"3,420",38,51,42,93,49,2,2,73,6,1.34,1.11,2.45,1.29,2.39,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16
Wimbledon,26,26.7,38,418,"3,420",38,44,33,77,43,1,1,46,4,1.16,0.87,2.03,1.13,2,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33
