Squad,# Pl,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arsenal,26,28.3,38,418,"3,420",38,62,52,114,61,1,2,48,3,1.63,1.37,3,1.61,2.97,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2
Aston Villa,23,28.1,38,419,"3,420",38,46,35,81,45,1,1,64,3,1.21,0.92,2.13,1.18,2.11,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2
Bradford City,30,30.2,38,366,"3,420",38,26,17,43,23,3,5,57,1,0.68,0.45,1.13,0.61,1.05,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9
Charlton Ath,27,26.8,38,418,"3,420",38,47,33,80,44,3,3,49,2,1.24,0.87,2.11,1.16,2.03,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99
Chelsea,27,28.1,38,411,"3,420",38,67,49,116,63,4,4,72,2,1.76,1.29,3.05,1.66,2.95,0.79,1.87,1,1.79,1.25,0.85,2.1,1.19,2.04
Coventry City,28,25.7,38,418,"3,420",38,33,22,55,30,3,3,74,2,0.87,0.58,1.45,0.79,1.37,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92
Derby County,32,25.3,38,415,"3,420",38,36,24,60,34,2,3,80,3,0.95,0.63,1.58,0.89,1.53,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57
Everton,31,27,38,414,"3,420",38,45,28,73,40,5,7,80,4,1.18,0.74,1.92,1.05,1.79,0.84,1.95,1.08,1.92,1.34,1,2.34,1.32,2.32
Ipswich Town,23,26.3,38,438,"3,420",38,56,39,95,53,3,3,32,2,1.47,1.03,2.5,1.39,2.42,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67
Leeds United,26,24.6,38,425,"3,420",38,63,44,107,60,3,4,75,3,1.66,1.16,2.82,1.58,2.74,1.82,4,2.05,3.87,1.81,1.39,3.21,1.71,3.1
Leicester City,29,27.4,38,425,"3,420",38,39,31,70,36,3,3,61,2,1.03,0.82,1.84,0.95,1.76,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4
Liverpool,26,25.4,38,415,"3,420",38,70,48,118,67,3,4,55,4,1.84,1.26,3.11,1.76,3.03,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36
Manchester City,30,26.1,38,434,"3,420",38,38,28,66,36,2,2,67,3,1,0.74,1.74,0.95,1.68,0.76,1.76,1,1.76,0.94,0.71,1.64,0.91,1.62
Manchester Utd,29,26.9,38,418,"3,420",38,77,60,137,75,2,3,44,3,2.03,1.58,3.61,1.97,3.55,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65
Middlesbrough,28,29.3,38,438,"3,420",38,43,25,68,40,3,3,78,6,1.13,0.66,1.79,1.05,1.71,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01
Newcastle Utd,29,26,38,424,"3,420",38,42,27,69,37,5,7,48,5,1.11,0.71,1.82,0.97,1.68,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33
Southampton,24,27.1,38,433,"3,420",38,40,28,68,40,0,0,51,1,1.05,0.74,1.79,1.05,1.79,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03
Sunderland,28,26.4,38,395,"3,420",38,46,32,78,44,2,4,73,5,1.21,0.84,2.05,1.16,2,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95
Tottenham,29,26.3,38,418,"3,420",38,46,31,77,43,3,4,49,3,1.21,0.82,2.03,1.13,1.95,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16
West Ham,34,27.6,38,409,"3,420",38,45,30,75,41,4,4,72,2,1.18,0.79,1.97,1.08,1.87,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33
